form,count
March,2007
Civil Disobedience,2686
Press Conference,743
Lawsuit,3472
Symbolic Display,475
Rally/Demonstration,4986
Clash,337
Information Distro,1752
Picket,1611
Boycott,818
Org Form Mtg,486
Attack,1156
Ceremony,121
Riot,833
Vigil,346
Strike,546
NA,47
Motorcade,64
Dramaturgical Demo,79
