,Event.ID,daily.count,Event.Date,Source.Name,Source.Sectors,Source.Country,Event.Text,CAMEO.Code,Intensity,Target.Name,Target.Sectors,target.recode,Target.Country,Story.ID,Sentence.Number,Publisher,City,District,Province,Country,Latitude,Longitude
345935,20153245,4,6/24/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Protest violently, riot",145,-7.5,Police (Brazil),"Police (Military, Civil)","Police (Military, Civil)",Brazil,27245916,5,Thai News Service,Niteroi,Porto Da Folha,Estado de Sergipe,Brazil,-9.76667,-37.4333
345962,20155020,4,6/24/13,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Brazil,Discuss by telephone,41,1,Xi Jinping,"(National) Major Party,Parties,Government Major Party (In Government),Unicameral,Legislative / Parliamentary,Government,Elite,Executive,Executive Office,Military",Political Party,China,27298270,2,Reuters News,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
345963,20155021,4,6/24/13,Xi Jinping,"(National) Major Party,Parties,Government Major Party (In Government),Unicameral,Legislative / Parliamentary,Government,Elite,Executive,Executive Office,Military",China,Discuss by telephone,41,1,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Political Party,Brazil,27298270,2,Reuters News,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
345966,20155018,4,6/24/13,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Brazil,Express intent to meet or negotiate,36,4,Vladimir Putin,"Ideological,Parties,Elite,(National) Major Party,Government,Executive Office,Center Right,Executive",Political Party,Russian Federation,27298270,6,Reuters News,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
346133,20155226,4,6/24/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Protest violently, riot",145,-7.5,Police (Brazil),"Police (Military, Civil)","Police (Military, Civil)",Brazil,27312728,5,AP Spanish Worldstream,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
346946,20158351,4,6/25/13,Cristina Fern��ndez de Kirchner,"Ideological,Executive,Government,Executive Office,Parties,(National) Major Party,Nationalist,Far Left",Argentina,Express intent to meet or negotiate,36,4,Brazil,,NA,Brazil,27308217,1,Agencia Diarios y Noticias,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
347371,20158892,4,6/25/13,Other Authorities / Officials (Brazil),Government,Brazil,Mobilize or increase armed forces,154,-7.2,Brazil,,NA,Brazil,27309211,5,Agence France-Presse,,,,Brazil,-15.8307,-47.6127
348044,20159620,4,6/25/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Obstruct passage, block",144,-7.5,Brazil,,NA,Brazil,27310571,3,O Estado de Ṣo Paulo,Cubatao,Joinville,Estado de Santa Catarina,Brazil,-26.0711,-49.1115
348486,20160091,4,6/25/13,Governor (Argentina),"Provincial,Government,Local",Argentina,Demand,100,-5,Argentina,,NA,Argentina,27311400,6,O Globo,Rio Grande,Rio Grande,Estado do Rio Grande do Sul,Brazil,-32.035,-52.0986
351816,20167752,4,6/27/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Protest violently, riot",145,-7.5,Police (Brazil),"Police (Military, Civil)","Police (Military, Civil)",Brazil,27296130,1,Al Jazeera English,Fortaleza,Fortaleza,Estado do Ceara,Brazil,-3.71722,-38.5431
351993,20168007,4,6/27/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,27298525,2,Agence France-Presse,Barra da Tijuca,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9984,-43.3655
352057,20168094,4,6/27/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Protest violently, riot",145,-7.5,Police (Brazil),"Police (Military, Civil)","Police (Military, Civil)",Brazil,27298679,3,Xinhua News Agency,Mineirao stadium,Belo Horizonte,Estado de Minas Gerais,Brazil,-19.8658,-43.9708
352146,20168202,4,6/27/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Protest violently, riot",145,-7.5,Police (Brazil),"Police (Military, Civil)","Police (Military, Civil)",Brazil,27298880,1,Associated Press Newswires,Fortaleza,Fortaleza,Estado do Ceara,Brazil,-3.71722,-38.5431
352148,20168200,4,6/27/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Protest violently, riot",145,-7.5,Police (Brazil),"Police (Military, Civil)","Police (Military, Civil)",Brazil,27298880,2,Associated Press Newswires,Fortaleza,Fortaleza,Estado do Ceara,Brazil,-3.71722,-38.5431
352292,20168355,4,6/27/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,27299112,4,AP Spanish Worldstream,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
352618,20168736,4,6/27/13,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Brazil,Criticize or denounce,111,-2,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,27299959,3,ANSA - Spanish Service (BASP),Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
353511,20169716,4,6/27/13,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Brazil,Make an appeal or request,20,3,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,27301884,5,Xinhua News Agency,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
354904,20172860,4,6/28/13,Political Parties (Brazil),Parties,Brazil,Praise or endorse,51,3.4,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Political Party,Brazil,27295228,1,PNA (Philippines News Agency),Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
355196,20173176,4,6/28/13,Ruling Coalition (Brazil),"Government Major Party (In Government),(National) Major Party,Parties",Brazil,Praise or endorse,51,3.4,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Political Party,Brazil,27295768,1,El Mercurio,Brasil,Sao Jose Do Rio Pardo,Estado de Sao Paulo,Brazil,-21.5833,-46.9
355656,20173680,4,6/28/13,Brazilian Social Democracy Party,"Ideological,(National) Major Party,Parties,Centrist",Brazil,Express intent to meet or negotiate,36,4,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Political Party,Brazil,27296961,1,O Globo,,,,Brazil,-15.8307,-47.6127
355806,20173848,4,6/28/13,Political Parties (Brazil),Parties,Brazil,Praise or endorse,51,3.4,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Political Party,Brazil,27297452,1,Xinhua News Agency,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
357882,20178505,4,6/30/13,Attacker (Brazil),"Dissident,Criminals / Gangs",Brazil,Use unconventional violence,180,-9,Children (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,27288325,6,Agencia EFE - Servi̤o em portugu̻s,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
357905,20178531,4,6/30/13,Police (Brazil),"Government,Police",Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,27288795,5,O Globo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
358669,20179363,4,6/30/13,Police (Brazil),"Government,Police",Brazil,"Arrest, detain, or charge with legal action",173,-5,Men (Brazil),"Social,General Population / Civilian / Social",General Population/Civilian,Brazil,27290222,1,O Estado de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
358670,20179366,4,6/30/13,National Conference of Bishops of Brazil,"International Religious,Religious Majority,Social,Catholic,National Religious",Brazil,Use conventional military force,190,-10,Citizen (Holy See (Vatican City State)),"Social,General Population / Civilian / Social",General Population/Civilian,Holy See,27290228,4,O Estado de Ṣo Paulo,Aparecida,Sao Luis Do Piaui,Estado do Piaui,Brazil,-6.83333,-41.3333
359647,20180992,4,7/1/13,Citizen (Brazil),"General Population / Civilian / Social,Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27286331,4,Dow Jones News Service,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
360112,20181480,4,7/1/13,Geraldo Alckmin,"Provincial,(National) Major Party,Government,Parties,Local,Ideological,Centrist",Brazil,Impose administrative sanctions,172,-5,Brazil,,NA,Brazil,27287067,1,O Estado de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
